Business Name,Address,Phone Number,Primary Contact,BBB Accreditation Status,Profile URL
Progressive Medical Billing,"6655 First Park Ten Blvd Ste 216, San Antonio, TX 78213-4304",(210) 733-1802,"Ms. Leticia A. Cantu, Owner",BBB Accredited,https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942
Momentum Billing,"13400 Sabre Springs Pkwy #150, San Diego, CA 92128",(866) 875-6527,Not Available,NOT a BBB Accredited Business,https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754
Matrix Medical Billing,"2135 E. University Drive #120, Mesa, AZ 85213-8337",(888) 834-3477,"Mr. Christian Burris, Member",NOT a BBB Accredited Business,https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964
Medical Billing Partners,"Lincoln, NE 68505-0201",(402) 413-5394,"Taylor Santos, Owner",NOT a BBB Accredited,https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239
Centerline Medical Billing,"Aliso Viejo, CA 92653-4642",(800) 828-5133,"Mr. Patrick Mahoney, Owner",BBB Accredited,https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438
Compass Billing,"5350 Dtc Pkwy, Ste 304, Greenwood Village, CO 80111",(303) 713-1300,"Ms. Ellen E. Stewart, Registered Agent",NOT a BBB Accredited Business,https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804
Springs Medical Billing,"Po Box 64258, Colorado Springs, CO 80962",(719) 400-8222,"Mrs. Christina Boyce, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536/addressId/54148
Veracity Medical Billing,"220 South Elm Street, Zionsville, IN 46077",(317) 520-3555,"Sharon Gall, President",NOT a BBB Accredited Business,https://www.bbb.org/us/in/zionsville/profile/medical-billing/veracity-medical-billing-0382-90050513
Midwest Medical Billing,"6400 E Main St Ste 201, Reynoldsburg, OH 43068-2348",(614) 577-1077,"Ms. Kelly Schaffer Rahe, President",NOT a BBB Accredited Business,https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119
Specialized Medical Billing,"330 E Wilson Bridge Rd Ste 100, Worthington, OH 43085-6310",(614) 461-8154,"Mrs. Adrianne H. Nittala, Co-Owner",BBB Accredited,https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304
Proclaims Medical Billing,"785 W Granada Blvd Ste 5, Ormond Beach, FL 32174-5163",(386) 274-5712,"Michelle Cavanaugh, President",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/ormond-beach/profile/medical-billing/proclaims-medical-billing-0733-90136184
Blitz Medical Billing,"1701 Legacy Dr Ste 1200, Frisco, TX 75034-5991",(855) 329-8220,"Ms. Lilian Garcia, CEO",BBB Accredited,https://www.bbb.org/us/tx/frisco/profile/medical-billing/blitz-medical-billing-0875-91061873
Medical Billing Center,"401 Brookfield Pkwy Ste 500A, Greenville, SC 29607-5795",(864) 679-1600,"Ms. Nicole Kluckhohn, CEO",NOT a BBB Accredited Business,https://www.bbb.org/us/sc/greenville/profile/medical-billing/medical-billing-center-0673-90039737
PC Medical Billing LLC,"Olympia, WA 98516-5969",(360) 539-8487,"Mr. Patrick O'Neil, Managing Member",BBB Accredited,https://www.bbb.org/us/wa/olympia/profile/medical-billing/pc-medical-billing-llc-1296-1000097169
Specialty Billing Services,"2649 Strang Blvd Ste 303, Yorktown Heights, NY 10598-2938",(914) 771-7335,"Ms. Jeannine Raciti, President",NOT a BBB Accredited Business,https://www.bbb.org/us/ny/yorktown-heights/profile/medical-billing/specialty-billing-services-0121-106473
Orange County Medical Billing,"8311 Westminster Blvd Ste 340D, Westminster, CA 92683-8315",(714) 895-5614,"Ms. Tracy Ann Jonas, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/westminster/profile/medical-billing/orange-county-medical-billing-1126-13172913
Diamond Medical Billing Services,"13301 SE 79th Pl # A101, Renton, WA 98059-3265",(253) 777-7762,"Sunni Hearin, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/renton/profile/medical-billing/diamond-medical-billing-services-1296-22719855
LPL Medical Billing Service,"3606 John Simmons Ct, Frederick, MD 21704-7815",(301) 831-8957,"Lachee Lewis, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/md/frederick/profile/medical-billing/lpl-medical-billing-service-0011-90205853
Doctors Billing Pros,"PO Box 152865, San Diego, CA 92195",(619) 229-2124,"Mr. Lamont Wolfe, Owner",NOT a BBB Accredited,https://www.bbb.org/us/ca/san-diego/profile/medical-billing/doctors-billing-pros-1126-172001777
Prescott Medical Billing Services,"Prescott, AZ 86303-4132",(928) 533-5060,"Mr. Kenneth Ficek, President/CEO",NOT a BBB Accredited Business,https://www.bbb.org/us/az/prescott/profile/medical-billing/prescott-medical-billing-services-1126-1000046455
DDR Medical Billing & Consultants,"2735 W Sweetwater Ave, Phoenix, AZ 85029-1311",(602) 888-7063,"Ms. Donna Suchil, Member",NOT a BBB Accredited Business,https://www.bbb.org/us/az/phoenix/profile/medical-billing/ddr-medical-billing-consultants-1126-1000047383
Valcare Medical Billing Services,"208 1/2 S 40th Ave, Yakima, WA 98908",(509) 972-2357,"Ms. Carolyn Pierson, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/yakima/profile/medical-billing/valcare-medical-billing-services-1296-1000009330
Quality Medical Billing Service,"1404 SE 151st Ave, Portland, OR 97233-3054",(503) 253-1653,"Ms. Kay Holmes, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/or/portland/profile/billing-services/quality-medical-billing-service-1296-75004277
Billing Partners Solution,"5224 N 40th Dr, Phoenix, AZ 85019-2436",(602) 675-0161,"Ms. Ruth M Gonzalez, Owner",BBB Accredited,https://www.bbb.org/us/az/phoenix/profile/medical-billing/billing-partners-solution-1126-1000047551
Easy Billing Services,"1641 Burton St, San Diego, CA 92111-7526",(619) 246-2695,"Ms. Danielle Gonzales, Owner",BBB Accredited,https://www.bbb.org/us/ca/san-diego/profile/billing-services/easy-billing-services-1126-1000113485
Clinical Billing Solutions,"Orange, CA 92868-2051",(888) 550-2112,"Mr. Jack Van Berkel, CEO",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/orange/profile/medical-billing/clinical-billing-solutions-1126-1000126773
Hernandez Healthcare Billing,"Bellemont, AZ 86015",(928) 779-4404,"Ms. Dorothy Hernandez, Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/az/bellemont/profile/billing-services/hernandez-healthcare-billing-1126-1000040693
Platinum Medical Billing & Consulting,"1837 S Mesa Dr Ste B202, Mesa, AZ 85210-6219",(602) 433-0305,"Ms. Anna M Whitt, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/az/mesa/profile/medical-billing/platinum-medical-billing-consulting-1126-1000085023
Billing Business Specialists,"PO Box 3121, Arizona City, AZ 85123-0828",(520) 316-9405,"Mrs. Jeri E. Theiler, Member",NOT a BBB Accredited Business,https://www.bbb.org/us/az/arizona-city/profile/medical-billing/billing-business-specialists-1126-1000047834
Orange Sterling Billing,"10000 N 31st Ave Ste D214, Phoenix, AZ 85051-2001",(480) 843-5143,"Mrs. Lauren Rundall, Owner",BBB Accredited,https://www.bbb.org/us/az/phoenix/profile/billing-services/orange-sterling-billing-1126-1000110820
Apridas Medical Management & Billing,"2035 E State Hwy 152 Suite 103, Mustang, OK 73064",(405) 745-9600,"Ms. Becky Stubblefield, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ok/mustang/profile/medical-case-management/apridas-medical-management-billing-0995-90024256
Doctors & MDs Billing,"2667 Fallon Cir, Simi Valley, CA 93065-4720",(805) 210-4207,"Ms. Lili Vizcardo, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/simi-valley/profile/medical-billing/doctors-mds-billing-1236-92013897
Medical Claims & Billing Specialist,"203C Calle Del Oaks, Del Rey Oaks, CA 93940-5710",(831) 649-9200,"Ms. Diana Rosa, Co-Owner",Medical Claims & Billing Specialist is BBB Accredited.,https://www.bbb.org/us/ca/del-rey-oaks/profile/medical-billing/medical-claims-billing-specialist-1216-231036
Young's Billing & Consulting,"Williamsville, NY 14221-2609",(716) 408-2525,"Mr. Daniel J. Young, President/CEO",BBB Accredited,https://www.bbb.org/us/ny/williamsville/profile/billing-services/youngs-billing-consulting-0041-235964412
KSN Billing & Collections,"Newark, NJ 07103-3378",(855) 469-0959,"Robin Bailey, CEO",NOT a BBB Accredited Business,https://www.bbb.org/us/nj/newark/profile/medical-billing/ksn-billing-collections-0221-90203827
American Medical Billing Association (AMBA),"2465 E Main St
Davis, OK 73030-2979",(580) 369-2700,"Mrs. Katie Taylor, Owner",BBB Accredited,https://www.bbb.org/us/ok/davis/profile/billing-services/american-medical-billing-association-amba-0995-5002597
"Metropolitan Medical Billing Services, Inc.","6606 Liberty Ter, Gwynn Oak, MD 21207-6208",(443) 401-3736,"Ms. Michelle Macer, Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/md/gwynn-oak/profile/medical-billing/metropolitan-medical-billing-services-inc-0011-90184972
Certified Healthcare Billing,"8055 Foothill Blvd, Sunland, CA 91040-2943",(626) 791-9004,"Julia Tashchyan, CEO",Certified Healthcare Billing is BBB Accredited.,https://www.bbb.org/us/ca/sunland/profile/medical-billing/certified-healthcare-billing-1216-640510
"Borsu Medical Billing Services, LLC","Hyattsville, MD 20782",(202) 848-4873,"Mr. Borsu Okpara, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/md/hyattsville/profile/medical-billing/borsu-medical-billing-services-llc-0241-236075667
"RDY Billing Solutions, LLC","Monroe, NC 28112-4523",(646) 916-0643,"Ms. Regina Young, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/nc/monroe/profile/medical-billing/rdy-billing-solutions-llc-0473-92032450
ELS Medical Billing Group LLC,"Lagrange, GA 30240-1158",(888) 927-7894,"Ms. Ericia L. Smith, CEO",BBB Accredited,https://www.bbb.org/us/ga/lagrange/profile/medical-billing/els-medical-billing-group-llc-0743-91820311
Results Insurance Billing LLC,"1235 NE McRae Ct, Prineville, OR 97754",(541) 393-8595,"Ms. Kerrie Martinez, Owner/Partner",NOT a BBB Accredited Business,https://www.bbb.org/us/or/prineville/profile/medical-billing/results-insurance-billing-llc-1296-1000103296/addressId/640425
Pro Med Billing Associates,"800 S Frontenac St # 3, Aurora, IL 60504-3122",(855) 630-9900,"Sadna Mohan, President",NOT a BBB Accredited Business,https://www.bbb.org/us/il/aurora/profile/medical-billing/pro-med-billing-associates-0654-88207857
Home Sweet Billing LLC,"Boise, ID 83705-2077",(208) 570-1752,"Ms. Jodie M Crane, Member",NOT a BBB Accredited Business,https://www.bbb.org/us/id/boise/profile/medical-billing/home-sweet-billing-llc-1296-1000128966
Aloha Maui Billing Services,"1135 Makawao Ave Ste 103, Makawao, HI 96768-7402",(808) 276-7193,Ms. Jonelle Davis,Aloha Maui Billing Services is BBB Accredited.,https://www.bbb.org/us/hi/makawao/profile/medical-billing/aloha-maui-billing-services-1296-1000121014
DeMonte Medical Billing Solutions LLC,"1000 Clay Ave, Jeannette, PA 15644-3466",(888) 924-3627,"Ms. Joanne Demonte, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/pa/jeannette/profile/medical-billing/demonte-medical-billing-solutions-llc-0141-71041213
C R Billing Svc,"22816 Valley Dr, Richton Park, IL 60471-2337",(708) 748-6775,"Connie Rawls, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/il/richton-park/profile/medical-billing/c-r-billing-svc-0654-88225214
Excellent Medical Billing Service (EMBS),"401 E 1st St Unit 2939
Sanford, FL 32772-7620",(407) 302-4606,"Lillian M. Ramos, President",NOT BBB Accredited,https://www.bbb.org/us/fl/sanford/profile/medical-billing/excellent-medical-billing-service-embs-0733-90179274
Blue Sky Billing Solutions,"101 N US Highway 1 STE 118, Fort Pierce, FL 34950-4254",(772) 429-0692,"Ms. Debbie Drennan, Managing Member",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/fort-pierce/profile/medical-billing/blue-sky-billing-solutions-0633-90428573
D M Billing Service,"Lakeside, CA 92040",(619) 561-2969,"Ms. Dana Manjarrez, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/lakeside/profile/billing-services/d-m-billing-service-1126-30004014
"T.E.A.M. Medical Billing Solutions, LLC","24 Bluewater Court, Wendell, NC 27591-9609",(919) 374-3384,"Ms. Alison J. Kilgore, Managing Member",NOT a BBB Accredited Business,https://www.bbb.org/us/nc/wendell/profile/medical-billing/team-medical-billing-solutions-llc-0593-90191285
"Administrative Billing Solutions, Inc.","1226 Archer Ln, Eau Claire, WI 54703-0605",(715) 303-7696,"Ms. Kari S. Behlmer, President",NOT a BBB Accredited Business,https://www.bbb.org/us/wi/eau-claire/profile/billing-services/administrative-billing-solutions-inc-0694-44185137
"Medical Billing, Etc.","10567 Hansen Ave, Omaha, NE 68124-3633",(402) 398-1138,"MaryEllen Fisher, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ne/omaha/profile/billing-services/medical-billing-etc-0714-300022690
D&S Medical Billing Services Inc,"PO Box 7526, Laguna Niguel, CA 92607-7526",(949) 388-0108,"Ms. Shahnaz Lewis, President/Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/laguna-niguel/profile/medical-billing/ds-medical-billing-services-inc-1126-13105658
A+ Medical Billing,"Lake Forest, CA 92630-3637",(949) 308-0332,"Ms. Abeer Marogi, Founder-CEO",NOT a BBB Accredited,https://www.bbb.org/us/ca/lake-forest/profile/medical-billing/a-medical-billing-1126-1000142295
Integrity Billing & Consulting LLC,"8855 SW Holly Ln Ste 125, Wilsonville, OR 97070-8793",(503) 582-8188,"Ms. Ginette M Zuras-Hummel, Managing Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/or/wilsonville/profile/medical-business-administration/integrity-billing-consulting-llc-1296-1000048129
Billing Key,"2221 Peachtree Rd NE STE D-397
Atlanta, GA 30309-1148",(678) 756-5284,"Mr. Nicholas Hawkins, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ga/atlanta/profile/medical-billing/billing-key-0443-27966156
Draper Precision Billing & Coding,"Flagstaff, AZ 86004-5455",(928) 221-8961,"Mr. Travis Draper, Member",NOT a BBB Accredited Business,https://www.bbb.org/us/az/flagstaff/profile/medical-coding/draper-precision-billing-coding-1126-1000048355
Medical Billing Unlimited,"4514 Rockdale Rd, Greencastle, PA 17225-8000",(717) 369-4417,"Ms. April Wingert, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/pa/greencastle/profile/medical-billing/medical-billing-unlimited-0241-182819497
Acom Medical Billing,"1094 S Gilbert Rd Ste 203, Gilbert, AZ 85296-3481",(480) 545-2610,"Mr. Patrick McMahon, President",NOT a BBB Accredited Business,https://www.bbb.org/us/az/gilbert/profile/medical-billing/acom-medical-billing-1126-87002612
Billing Dynamix,"2857 Executive Dr STE 200
Clearwater, FL 33762-5584",(727) 386-9497,Mr. Thomas Jorno,NOT a BBB Accredited Business,https://www.bbb.org/us/fl/clearwater/profile/medical-billing/billing-dynamix-0653-90344528
Enfinity Medical Billing,"197 Route 18, East Brunswick, NJ 08816-1440",(732) 944-0080,"Shakeel Ahmad, Principal",NOT a BBB Accredited Business,https://www.bbb.org/us/nj/east-brunswick/profile/medical-billing/enfinity-medical-billing-0221-90234777
PDXPERT Medical Billing,"Portland, OR 97220-2709",(503) 860-8913,Ms. Cortney Rouse,NOT a BBB Accredited Business,https://www.bbb.org/us/or/portland/profile/medical-billing/pdxpert-medical-billing-1296-1000096262
Armedix Medical Billing,"3705 W Memorial Rd Ste 1304, Oklahoma City, OK 73134-1503",(405) 418-4506,"Mr. Randall Murray, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ok/oklahoma-city/profile/medical-billing/armedix-medical-billing-0995-90074308
Element Medical Billing,"2000 SE Port St Lucie Blvd Suite B, Port Saint Lucie, FL 34952",Not Available,"Jared Turner, Owner/Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/port-saint-lucie/profile/medical-billing/element-medical-billing-0633-92046033
Prosperity Medical Billing,"Bowling Green, KY 42103-7116",(606) 207-6318,"Mr. William B. Woodward, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ky/bowling-green/profile/medical-billing/prosperity-medical-billing-0402-159166505
Schmidt Medical Billing,"200 Mcknight Park Dr # 201, Pittsburgh, PA 15237",(888) 894-8880,Not Available,NOT a BBB Accredited Business,https://www.bbb.org/us/pa/pittsburgh/profile/medical-billing/schmidt-medical-billing-0141-71049184
Stolze Medical Billing,"11736 Dellwood Rd, Victorville, CA 92392-1291",(909) 576-0111,"Mrs. Alyssa A Stolze, Billing Specialist",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/victorville/profile/medical-billing/stolze-medical-billing-1126-850022321
Greensense Billing,"495 E Rincon St STE 206, Corona, CA 92879",(909) 698-8022,"Ms. Angel Salazar, Operations Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/corona/profile/medical-billing/greensense-billing-1126-850066962
SmileBound Billing,"Millville, NJ 08332-4602",(803) 200-1899,"Ms. Dawn Walker, CEO",BBB Accredited,https://www.bbb.org/us/nj/millville/profile/medical-billing/smilebound-billing-0221-90234692
Billing Solutions,"15 E Lincoln Ave, Delaware, OH 43015-1605",(740) 417-4968,"Ms. Jackie Kruse, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/oh/delaware/profile/medical-billing/billing-solutions-0302-14008220
Operation Billing,"4500 Mercantile Plaza Dr Ste 300, Fort Worth, TX 76137-4206",(888) 723-5962,"Mr. Steve Herrera, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/tx/fort-worth/profile/medical-billing/operation-billing-0825-235981805
Billing Matters,"570 El Camino Real STE 363, Redwood City, CA 94063-1200",(650) 245-2726,"Ms. Beth Goddard, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/redwood-city/profile/medical-billing/billing-matters-1116-538335
Talbert's Medical Billing,"109 Executive Drive, Suite C, Lake Charles, LA 70611",(337) 855-9023,"Mary Talbert, CEO",BBB Accredited,https://www.bbb.org/us/la/lake-charles/profile/medical-billing/talberts-medical-billing-0925-90006328
Medical Billing Alternatives,"5600 Monroe St Building B Ste 101, Sylvania, OH 43560-0703",(419) 824-5203,"Ms. Linda Hoffman, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/oh/sylvania/profile/billing-services/medical-billing-alternatives-0422-18000291
Midwest Medical Billing,"650 E. Devon Ave., Itasca, IL 60143-1251",(630) 875-1500,"Bob Bostrom, President",NOT a BBB Accredited,https://www.bbb.org/us/il/itasca/profile/billing-services/midwest-medical-billing-0654-88008315
Prince's Medical Billing,"391 Sawyer St., Vallejo, CA 94589",(707) 334-9724,"Ms. Loretta Lary, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/vallejo/profile/billing-services/princes-medical-billing-1116-305648
Denton Medical Billing,"2019 Malone, Denton, TX 76201",(940) 565-5846,"Ms. Robin Johnston, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/tx/denton/profile/billing-services/denton-medical-billing-0875-90013540
"Montana Medical Billing, L.L.C.","3200 Trumble Creek Rd, Columbia Fls, MT 59912-9048",(406) 227-7065,"Mrs. Morgan Williams, Owner",BBB Accredited,https://www.bbb.org/us/mt/columbia-fls/profile/medical-business-administration/montana-medical-billing-llc-1296-1000008635
Medical Billing Specialists,"Everett, WA 98201-1874",(503) 387-5436,Mr. Kevin Worden,NOT a BBB Accredited Business,https://www.bbb.org/us/wa/everett/profile/medical-billing/medical-billing-specialists-1296-1000055840
Medical Billing Solutions,"801 E Woodcroft Pkwy Apt 724, Durham, NC 27713-8268",Not Available,"Ms. Mickey Perry, Customer Contact",NOT a BBB Accredited Business,https://www.bbb.org/us/nc/durham/profile/medical-billing/medical-billing-solutions-0593-90079402
Tammy's Medical Billing,"Seward, AK 99664",(907) 422-0488,"Ms. Tammy Foutz, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ak/seward/profile/medical-billing/tammys-medical-billing-1296-1000095075
Advantage Medical Billing,"Chico, CA 95973-5827",(530) 345-7699,"Ms. Jennifer Redeker, Owner",Advantage Medical Billing is BBB Accredited.,https://www.bbb.org/us/ca/chico/profile/medical-billing/advantage-medical-billing-1156-47020324
Maximus Medical Billing,"11006 Veirs Mill Rd PMB 261, Silver Spring, MD 20902-2582",(240) 489-6260,"Dr. Maria Jison, President",NOT a BBB Accredited Business,https://www.bbb.org/us/md/silver-spring/profile/billing-services/maximus-medical-billing-0241-182900463
Stanford Medical Billing,"550 E Herndon Ave Ste 105A, Fresno, CA 93720-2992",(559) 438-1245,"Bette Stanford, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/fresno/profile/billing-services/stanford-medical-billing-1126-59004124
Medical Billing Alternatives,"136 S Cannon Ave, Murfreesboro, TN 37129-3506",(615) 329-8226,"Carla Anderson, CEO/Owner",NOT a BBB Accredited,https://www.bbb.org/us/tn/murfreesboro/profile/billing-services/medical-billing-alternatives-0573-37062480
Outsource Medical Billing,"207 Stillmeadow Dr, Joppa, MD 21085-4750",Not Available,"Sharon Burge, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/md/joppa/profile/billing-services/outsource-medical-billing-0011-90190447
Park Medical Billing,"106 Grand Ave Ste 210, Englewood, NJ 07631-3565",(201) 585-7306,"Mr. Chol Park, CEO/Founder",NOT a BBB Accredited Business,https://www.bbb.org/us/nj/englewood/profile/medical-billing/park-medical-billing-0221-90169074
Nexus Medical Billing,"PO Box 15109, Springfield, MA 01115",(877) 272-2900,Mr. Christine,NOT a BBB Accredited Business,https://www.bbb.org/us/ma/springfield/profile/medical-billing/nexus-medical-billing-0261-289023
Human Medical Billing,"2674 E Main St Ste E306, Ventura, CA 93003-2820",(877) 669-1070,"Mr. Ramesh Jayakuma, Owner",BBB Accredited,https://www.bbb.org/us/ca/ventura/profile/medical-billing/human-medical-billing-1236-92088165
Lees Medical Billing,"Milton, FL 32571-2696",(229) 234-0062,"Ms. Katy Saders, Office Supervisor",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/milton/profile/medical-billing/lees-medical-billing-0683-90078578
