Business Name,Address,Phone Number,Primary Contact,BBB Accreditation Status,Profile URL
Ultimate Medical Billing,"17370 Avion Sq, Round Hill, VA 20141-2492",(540) 751-9146,"Ms. Rhonda Jeffery, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/va/round-hill/profile/billing-services/ultimate-medical-billing-0241-124457597
Hart Medical Billing,"PO Box 2447, Mckinleyville, CA 95519-2447",(707) 839-3013,"Ms. Harriette Hart, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/mckinleyville/profile/billing-services/hart-medical-billing-1116-195300
"Seaside Medical Billing, Inc.","PO Box 2460
Teaticket, MA 02536-2460",(508) 548-3699,"Ms. Charlene Soares, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ma/teaticket/profile/medical-billing/seaside-medical-billing-inc-0021-112487
Telfonix Medical Billing,"890 Hillcrest Drive, Nokomis, FL 34275",(941) 483-6633,Not Available,NOT a BBB Accredited Business,https://www.bbb.org/us/fl/nokomis/profile/medical-consultants/telfonix-medical-billing-0403-8002369
Digital Med Billing Solutions LLC,"1322 N Pine Hills Rd, Orlando, FL 32808-4832",(407) 377-5484,Not Available,NOT a BBB Accredited Business,https://www.bbb.org/us/fl/orlando/profile/medical-billing/digital-med-billing-solutions-llc-0733-235968973
Billing Paradise,"732 N Diamond Bar Blvd STE 110, Diamond Bar, CA 91765-1043",(888) 571-9069,"Venkat Aravamudhan, CFO",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/diamond-bar/profile/medical-billing/billing-paradise-1216-260860
ePsych Billing,"2300 W Sahara Ave Ste 800, Las Vegas, NV 89102-4397",(323) 374-5479,"Mr. Alexander Zaki, President",NOT a BBB Accredited Business,https://www.bbb.org/us/nv/las-vegas/profile/medical-billing/epsych-billing-1086-90093585
Ultimate Billing,"1600 Division Rd Ste 2000, West Warwick, RI 02893-7574",(469) 744-5853,"Ms. Marina Adelman, Founder",NOT a BBB Accredited Business,https://www.bbb.org/us/ri/west-warwick/profile/medical-billing/ultimate-billing-0021-543902
Billing Depot,"415 Dutch Neck Rd, East Windsor, NJ 08520-1201",(609) 371-8920,"Ms. Patricia Freeze, President",NOT a BBB Accredited Business,https://www.bbb.org/us/nj/east-windsor/profile/medical-billing/billing-depot-0221-90108714
Allstars Medical Billing,"2121 N California Blvd Ste 243, Walnut Creek, CA 94596-3572",(501) 424-0123,"Mr. Muhammad ""Imran"" Siddique, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/walnut-creek/profile/medical-billing/allstars-medical-billing-0935-90386244
Revu Billing,"175 S Bloomingdale Rd, Bloomingdale, IL 60108",(888) 999-9744,Business Manager,NOT a BBB Accredited Business,https://www.bbb.org/us/il/bloomingdale/profile/accountant/revu-billing-0654-1000108584
Atticus Medical Billing,"5776 Lindero Canyon Road Suite D-451, Thousand Oaks, CA 91362",(800) 960-4662,"Customer Service, Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/thousand-oaks/profile/medical-billing/atticus-medical-billing-1236-92021487
Nexus Medical Billing,"150 Pinellas Bayway S, Tierra Verde, FL 33715-1708",(877) 842-5246,"Ms. Lauren K Hardison, President",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/tierra-verde/profile/medical-billing/nexus-medical-billing-0653-90395209
Accelerated Medical Billing,"1209 1st St NE, Saint Petersburg, FL 33701-1811",(813) 817-5602,Not Available,NOT a BBB Accredited Business,https://www.bbb.org/us/fl/saint-petersburg/profile/medical-billing/accelerated-medical-billing-0653-90399628/addressId/255877
Medical Billing Solutions,"3924 N Torrey Pines Dr, Las Vegas, NV 89108-5900",(725) 241-7862,"Ms. Melissa Mateo, Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/nv/las-vegas/profile/medical-billing/medical-billing-solutions-1086-90090950
Savant Medical Billing,"6119 NE 103rd Ct, Vancouver, WA 98662",(360) 567-7154,"Ms. Susanne Noga, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/vancouver/profile/medical-billing/savant-medical-billing-1296-1000087929/addressId/826424
Camelot Medical Billing,"417 Nickman St, Chula Vista, CA 91911",(619) 942-9128,"Mrs. Wendy R Caudle, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/chula-vista/profile/medical-billing/camelot-medical-billing-1126-172007228
Docs Medical Billing,"630 Landview Ct, Las Vegas, NV 89123-0197",(702) 260-4106,Ms. Diana Gonzales,NOT a BBB Accredited Business,https://www.bbb.org/us/nv/las-vegas/profile/medical-billing/docs-medical-billing-1086-90045502
Reliance Medical Billing,"3741 S Peoria Ave, Tulsa, OK 74105-3264",(918) 701-2388,"Lynn Webb, Branch Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/ok/tulsa/profile/medical-billing/reliance-medical-billing-1025-38064846
Specialty Medical Billing,"614 Cahoon Rd N, Jacksonville, FL 32220",(904) 410-7938,"Ms. Judy Ullo, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/jacksonville/profile/medical-billing/specialty-medical-billing-0403-235960875
Endless Billing,"6167 Reseda blvd, tarzana, CA 91335",(877) 927-1619,"Wendely Moodie-Naranjo, Executive",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/tarzana/profile/medical-billing/endless-billing-1216-1000009205
Sigma Billing,"1520 S Main St, Dayton, OH 45409",(937) 208-7288,"Tracy Hammond, Executive Director",NOT a BBB Accredited Business,https://www.bbb.org/us/oh/dayton/profile/medical-billing/sigma-billing-0322-3857
EasyCare Billing,"105 Daniel Ct, Kendall Park, NJ 08824-1530",(609) 840-7792,Not Available,NOT BBB Accredited,https://www.bbb.org/us/nj/kendall-park/profile/medical-billing/easycare-billing-0221-90175229
Anderson Medical Billing,"14550 Balsam Street, Southgate, MI 48195",(734) 284-4105,Not Available,NOT a BBB Accredited,https://www.bbb.org/us/mi/southgate/profile/billing-services/anderson-medical-billing-0372-90000668
Sven Medical Billing,"5880 Pine Knob Lane, Clarkston, MI 48346",(248) 674-7133,Not Available,NOT a BBB Accredited Business,https://www.bbb.org/us/mi/clarkston/profile/billing-services/sven-medical-billing-0372-20004855
Elite Medical Billing,"3110 S Valley View Blvd STE 204, Las Vegas, NV 89102-8389",(702) 989-5001,"Ms. Yvette Vazquez, President",NOT a BBB Accredited Business,https://www.bbb.org/us/nv/las-vegas/profile/billing-services/elite-medical-billing-1086-74814
WesDak Medical Billing,"809 South St Ste 210, Rapid City, SD 57701-3583",(605) 255-5507,"Julie Baker, President",BBB Accredited,https://www.bbb.org/us/sd/rapid-city/profile/medical-billing/wesdak-medical-billing-0714-300064426
Trinity Medical Billing,"PO Box 10050, Fayetteville, AR 72703",(479) 571-3174,"Mrs. Mary Cooper, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ar/fayetteville/profile/medical-billing/trinity-medical-billing-0935-90305889
Medical Billing Network,"6 Dupuis Ave # B, Lewiston, ME 04240",(207) 782-2492,"Ms. Louise Carpentier, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/me/lewiston/profile/medical-billing/medical-billing-network-0021-329422
Medical Billing Simplified,"10811 FM 3226, Arp, TX 75750",(903) 752-5691,"Ms. Lindsey Michelle Pautsky, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/tx/arp/profile/medical-billing/medical-billing-simplified--1075-28137758
Medical Billing Services,"302 Powell Dr, Tyler, TX 75703-4635",(903) 534-1104,Ms. Carol Barrios,NOT a BBB Accredited,https://www.bbb.org/us/tx/tyler/profile/medical-billing/medical-billing-services-1075-28114624
DMJM Medical Billing,"PO Box 2611, Chesterfield, VA 23832",(804) 275-0606,"Ms. Jeanne M Haskins, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/va/chesterfield/profile/medical-billing/dmjm-medical-billing-0603-63400221/addressId/55124
Renaissance Medical Billing,"3917 Volunteer Dr STE 5, Chattanooga, TN 37416-3876",(423) 877-2312,"Mr. Durie Andrews, Director of Business Development",NOT a BBB Accredited Business,https://www.bbb.org/us/tn/chattanooga/profile/billing-services/renaissance-medical-billing-0483-40035843/addressId/26756
G & P Billing Services LLC,"PO Box 397, Lima, OH 45802-0397",(419) 224-7056,"Ms. Valerie Kline, President/Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/oh/lima/profile/medical-billing/g-p-billing-services-llc-0422-8004351
"Professional Billing, Inc","PO Box 1026
Powell, OH 43065-1026",(877) 696-6589,"Mr. Daniel Crocker, President",NOT a BBB Accredited Business,https://www.bbb.org/us/oh/powell/profile/medical-business-administration/professional-billing-inc-0302-70075862
Mercy Physician Billing,"2525 S Michigan Ave # B-522, Chicago, IL 60616-2333",(312) 567-6691,"Ms. Eleanor L. Copp, Managed Care Physician Services",NOT a BBB Accredited Business,https://www.bbb.org/us/il/chicago/profile/billing-services/mercy-physician-billing-0654-33002223
On Point Medical Billing,"29200 Southfield Rd., S. 202A, Southfield, MI 48076",(248) 281-3508,"Ms. Sophia Hooper, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/mi/southfield/profile/billing-services/on-point-medical-billing-0372-90031304
Cardinal Medical Billing LLC,"Snohomish, WA 98290-7214",(360) 863-6186,"Ms. Krystee Nixon, CEO",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/snohomish/profile/medical-billing/cardinal-medical-billing-llc-1296-1000105223
Independent Medical Billing LLC,"Phoenix, AZ 85033-1856",(602) 349-5869,"Ms. Christina Miller, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/az/phoenix/profile/medical-billing/independent-medical-billing-llc-1126-1000091289
CF Medical Billing LLC,"3705 S Highway 27 STE 203, Clermont, FL 34711-7950",(352) 536-8140,"Theresa Stone, Owner",CF Medical Billing LLC is BBB Accredited.,https://www.bbb.org/us/fl/clermont/profile/medical-billing/cf-medical-billing-llc-0733-90337120
Avedis Medical Billing Solutions,"Bakersfield, CA 93314-3703",(661) 706-2911,"Ms. Tambra A. Head, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/bakersfield/profile/medical-billing/avedis-medical-billing-solutions-1126-89043575
Eastern Medical Billing LLC,"Havelock, NC 28532-2367",(252) 269-4807,Not Available,BBB Accredited,https://www.bbb.org/us/nc/havelock/profile/medical-billing/eastern-medical-billing-llc-0593-90363629
Online Medical Billing Solutions,"876 N Mountain Ave STE 200T, Upland, CA 91786-4166",Not Available,"Ms. Michele Shamell, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/upland/profile/medical-billing/online-medical-billing-solutions-1126-89082695
Providers Medical Billing LLC,"9326 W 33rd Ln, Hialeah, FL 33018-2068",(954) 990-3693,"Yadira Martinez, Managing Member",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/hialeah/profile/medical-billing/providers-medical-billing-llc-0633-90614276
Transcend Medical Billing LLC,"22510 SE 64th Pl, Ste 130, Issaquah, WA 98027",(425) 654-0001,"Ms. Sally Thompson, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/issaquah/profile/medical-billing/transcend-medical-billing-llc-1296-22713295
Efficient Medical Billing Service,"6635 N Baltimore Ave # 236, Portland, OR 97203-5454",(503) 384-2988,"Mr. David Waite, Member",NOT a BBB Accredited Business,https://www.bbb.org/us/or/portland/profile/medical-billing/efficient-medical-billing-service-1296-1000098926
Premier Medical Billing LLC,"West Linn, OR 97068-9277",(503) 810-8166,"Ms. Loubna Ezat Agha, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/or/west-linn/profile/medical-billing/premier-medical-billing-llc-1296-1000112835
West Medical Billing Services,"96772 FOX TROT LANE, Coos Bay, OR 97420",(541) 266-9038,"Ms. Joy M West, Registered Agent",NOT a BBB Accredited,https://www.bbb.org/us/or/coos-bay/profile/medical-billing/west-medical-billing-services-1296-1000040336
Carolina Medical Billing Inc,"317 Matthews Mint Hill Rd Ste 210, Matthews, NC 28105-2895",(704) 708-5054,"Mr. Matthew Pomponio, President",NOT a BBB Accredited Business,https://www.bbb.org/us/nc/matthews/profile/medical-billing/carolina-medical-billing-inc-0473-104763
Vista Medical Billing LLC,"2851 S Parker Rd #1-0730, Aurora, CO 80014",(720) 389-5995,"Mr. Scott Klohs, Registered Agent",NOT a BBB Accredited Business,https://www.bbb.org/us/co/aurora/profile/medical-billing/vista-medical-billing-llc-1296-90266739
BC Medical Billing LLC,"2001 Tyler St Ste 211
Hollywood, FL 33020-4578",(844) 607-1980,"Ms. Belinda Caballero, Managing Member",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/hollywood/profile/medical-billing/bc-medical-billing-llc-0633-92024085
RPM Medical Billing LLC,"5600 Greenwood Plaza Blvd Ste 150, Greenwood Village, CO 80111",(855) 577-6633,"Mr. Joshua Ostler, Member",NOT a BBB Accredited Business,https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/rpm-medical-billing-llc-1296-1000139565
Diligent Medical Billing LLC,"Woodinville, WA 98077-8006",(425) 616-1496,"Ms. Karen Salmon, Member",BBB Accredited,https://www.bbb.org/us/wa/woodinville/profile/medical-billing/diligent-medical-billing-llc-1296-1000086915
Cherry Medical Billing Solutions,"Salem, OR 97306-1959",(503) 983-4722,"Ms. Sheryl Lynn Abid, Owner",BBB Accredited,https://www.bbb.org/us/or/salem/profile/billing-services/cherry-medical-billing-solutions-1296-1000140923
Valley View Medical Billing,"30141 Antelope Rd Ste D340, Menifee, CA 92584-7001",(888) 853-6043,"Ms. Lindsey Weatherford, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/menifee/profile/medical-billing/valley-view-medical-billing-1126-850022097
Advanced Medical Billing Company,"231 Azalea Ct, Toms River, NJ 08753-1330",(732) 286-4646,"Ms. Elena Hammer, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/nj/toms-river/profile/medical-billing/advanced-medical-billing-company-0221-90080955
Professional Medical Billing Group,"1515 S Wayne Rd, Westland, MI 48186-5436",(734) 641-9991,"Ms. Debbie Magill, President",BBB Accredited,https://www.bbb.org/us/mi/westland/profile/medical-billing/professional-medical-billing-group-0372-49004482
"Medical Billing Specialists, LLC","P O Box 1321, Indianapolis, IN 46204",(317) 753-3289,"Ms. Maria Tabares, President",NOT a BBB Accredited Business,https://www.bbb.org/us/in/indianapolis/profile/billing-services/medical-billing-specialists-llc-0382-90005320
Indiana Preferred Medical Billing,"PO Box 112, Muncie, IN 47308-0112",(888) 941-3238,"Ms. Jill McCarthy, President",NOT a BBB Accredited Business,https://www.bbb.org/us/in/muncie/profile/medical-billing/indiana-preferred-medical-billing-0382-13000631
Elite Medical Billing LLC,"1200 Woodruff Rd Ste G22, Greenville, SC 29607-5735",(866) 289-8072,"Mr. Forrest Vance, Owner; Mrs. Amy Vance, Owner",BBB Accredited,https://www.bbb.org/us/sc/greenville/profile/medical-billing/elite-medical-billing-llc-0673-90001934
Genesis Medical Billing Services,"6421 Camp Bowie Blvd, Fort Worth, TX 76116-5401",(800) 879-5015,"Ms. Susan Sabadach, President",BBB Accredited,https://www.bbb.org/us/tx/fort-worth/profile/medical-billing/genesis-medical-billing-services-0825-235971772/addressId/237886
AMBS Medical Billing Services,"100 Avery Olivia Way Ste C, Fairmont, WV 26554-9375",(304) 363-7000,"Mr. Bryan K Towns, President",NOT a BBB Accredited Business,https://www.bbb.org/us/wv/fairmont/profile/medical-billing/ambs-medical-billing-services-0282-92005432
Skyline Medical Billing Management,"Dewey, AZ 86327-8236",(928) 227-1167,"Ms. Jennifer Moran, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/az/dewey/profile/medical-billing/skyline-medical-billing-management-1126-1000061790
"Medical Billing Solutions, Inc","625 Andover Park W Ste 101, Tukwila, WA 98188-3332",(206) 431-0138,"Ms. Beth Colombo, Member",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/tukwila/profile/medical-billing/medical-billing-solutions-inc-1296-1000074592
Vision Medical Billing Services,"6325 Falls of Neuse Rd, 35-315, Raleigh, NC 27615-6877",(919) 521-6480,"Ms. Gwendolyn Thompson, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/nc/raleigh/profile/medical-billing/vision-medical-billing-services-0593-90155722
Coastal Medical Billing LLC,"5151 Flynn Pkwy Ste 115, Corpus Christi, TX 78411-4318",(361) 452-8360,"Mrs. Tricia R Molina, Executive Director/CEO",NOT a BBB Accredited Business,https://www.bbb.org/us/tx/corpus-christi/profile/medical-billing/coastal-medical-billing-llc-0825-1000210070
Advanced Medical Billing Services,"Boerne, TX 78006-1415",(210) 363-0381,"Ms. Dana Cooper, President",NOT a BBB Accredited Business,https://www.bbb.org/us/tx/boerne/profile/medical-billing/advanced-medical-billing-services-0825-1000190255
Dynamic Medical Billing Service,"PO Box 631248, Littleton, CO 80163-1248",(303) 346-3414,"Mr. Bob Tulper, Co-Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/co/littleton/profile/medical-billing/dynamic-medical-billing-service-1296-46001497
"Medical Billing Concepts, Inc.","211 S Federal Hwy 7 & 8, Boynton Beach, FL 33435",(800) 436-9305,"Mr. Dana Thompson, President",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/boynton-beach/profile/medical-billing/medical-billing-concepts-inc-0633-4002981
Lauren Wadsworth Medical Billing,"120 E FM 544
Ste. 72, PMB 460
Murphy, TX 75094",(972) 383-4489,"Ms. Lauren Wadswroth, Owner/Operator",NOT a BBB Accredited Business,https://www.bbb.org/us/tx/murphy/profile/medical-billing/lauren-wadsworth-medical-billing-0875-91339777
A1 Medical Billing Management,"21207 Interlochen Ln, Lawrenceburg, IN 47025-9017",(812) 537-4096,"Ms. Shirley Robinson, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/in/lawrenceburg/profile/billing-services/a1-medical-billing-management-0292-3005684
Medical Billing Solutions Inc,"503 Buckeye Dr Ste 100, Troy, IL 62294-2347",(800) 596-5387,"Ms. Kim Stevens, President",NOT a BBB Accredited Business,https://www.bbb.org/us/il/troy/profile/billing-services/medical-billing-solutions-inc-0734-310359142
Absolute Medical Billing Specialists,"10529 W. Donald Drive, Peoria, AZ 85383-1757",(623) 362-2129,"Ms. Maria Parial, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/az/peoria/profile/billing-services/absolute-medical-billing-specialists-1126-97011941
Rapid Return Medical Billing,"2011 S 6th St, Brainerd, MN 56401-4528",(218) 829-2455,"Jake Tiggelaar, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/mn/brainerd/profile/billing-services/rapid-return-medical-billing-0704-96157177
Benedict Billing Solutions,"PO Box 871, Simi Valley, CA 93062-0871",(805) 587-5108,"Ms. Joan Palmeiri, Executive Director",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/simi-valley/profile/medical-billing/benedict-billing-solutions-1236-92025010
Rainier Billing LLC,"Marysville, WA 98270-6854",(360) 474-3836,"Ms. Brandi Goellner, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/marysville/profile/medical-billing/rainier-billing-llc-1296-1000119066
"Medical Billing Technologies, Inc.","PO Box 709, Visalia, CA 93279-0709",(559) 627-6267,"Ms. Roberta Stephens, CEO/President",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/visalia/profile/billing-services/medical-billing-technologies-inc-1126-83001343
AllClaims Medical Billing Solutions,"Chula Vista, CA 91910",(619) 347-2527,"Ms. Maria L Laygo, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/chula-vista/profile/billing-services/allclaims-medical-billing-solutions-1126-172001599
Penny Lane Medical Billing,"Orange, CA 92869",(714) 519-6130,"Ms. Daphne Carrico, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/orange/profile/medical-billing/penny-lane-medical-billing-1126-1000054505
Sublime Billing Services,"2414 S Fairview St Ste 215, Santa Ana, CA 92704-5318",(949) 300-1657,"Mr. Michael Priesing, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/santa-ana/profile/medical-billing/sublime-billing-services-1126-1000067807
Robles Medical Billing LLC,"Phoenix, AZ 85032-4244",(520) 869-6214,"Ms. Martha Robles-Stahl, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/az/phoenix/profile/medical-billing/robles-medical-billing-llc-1126-1000077401
Advantage Billing Services,"11631 NE 155th St, Kirkland, WA 98034-4659",(206) 795-3781,"Ms. Melinda Cook, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/kirkland/profile/billing-services/advantage-billing-services-1296-22943638
Kingston Medical Billing LLC,"Indianapolis, IN 46256-3461",(317) 854-7109,"Ms. Tommara Montgomery, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/in/indianapolis/profile/medical-billing/kingston-medical-billing-llc-0382-90046149
Liberty Billing LLC,"74401 Hovley Lane East
Apt 418
Palm Desert, CA 92260",(425) 218-1944,"Mrs. Lisa Schmidt, Managing Member",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/palm-desert/profile/medical-billing/liberty-billing-llc-1296-1000012359
Unified Billing LLC,"12100 NE 195th St Ste 325, Bothell, WA 98011-5768",(425) 939-1293,"Ms. Monica Severtsen, President",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/bothell/profile/medical-billing/unified-billing-llc-1296-1000035606
Billing Ally LLC,"800 NE Tenney Rd Ste 110-222, Vancouver, WA 98685",(360) 953-5300,"Robert Laub, President",NOT BBB Accredited,https://www.bbb.org/us/wa/vancouver/profile/medical-billing/billing-ally-llc-1296-1000063665
Billing Solutions Unlimited,"261 Whetstone Ct., Rocky Mount, NC 27804",(888) 692-5592,"Ms. Kenya Batts, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/nc/rocky-mount/profile/medical-billing/billing-solutions-unlimited-0593-90287371
Triangle Billing Systems,"422 Wild Duck Ct, Wake Forest, NC 27587-5505",(919) 562-1882,"Mr. Dennis Chasten, Owner",NOT a BBB Accredited,https://www.bbb.org/us/nc/wake-forest/profile/medical-billing/triangle-billing-systems-0593-90078667
Guardian Billing LLC,"1715 Fox Run, Shakopee, MN 55379",(612) 730-3502,"Melinda M Flaig, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/mn/shakopee/profile/medical-billing/guardian-billing-llc-0704-1000047625
Coastal Billing LLC,"PO Box 7641, Wilmington, NC 28406-7641",(833) 723-9219,Ms. Maria Allen,NOT a BBB Accredited Business,https://www.bbb.org/us/nc/wilmington/profile/medical-billing/coastal-billing-llc-0593-90051103
Physician Billing Service,"595 Round Rock West Dr Ste 403, Round Rock, TX 78681-5031",(254) 308-2225,"Ms. Shirley Cox, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/tx/round-rock/profile/medical-billing/physician-billing-service-0825-1000134893
